question,option_a,option_b,option_c,option_d,correct_answer,question_type,year,page
39. A person who write computer program called:,Programmer,Computer Master,Scripter,None of these,A,multiple_choice,2015,108
40. Dengue is caused by:,Aedes Aegypti,Anophilies,Barinohils,None of these,A,multiple_choice,2015,108
"42. In general, the most destructive earthquake waves are the:",P waves,Surface waves,S waves,None of these,B,multiple_choice,2015,109
43. The ready source of energy for athletes is:,Fats,Glucose,Starch,Carbohydrates,D,multiple_choice,2015,109
44. Genes in higher organism are located in:,RNA,DNA,Both a & b,None of these,B,multiple_choice,2015,109
45. Milk is pasteurized:,To kill bacteria,To keep it cool,To eradicate impurities,None of these,A,multiple_choice,2015,110
46. Long-sight defect could be corrected by using ____ lens:,Concave,Convex,Diverging,None of these,B,multiple_choice,2015,110
47. Cyclone is:,Circular moving tornado,Trade Winds,Periodic Winds,None of these,A,multiple_choice,2015,111
48. Gall bladder is part of which system:,Excretory system,Digestive system,Respiratory system,None of these,B,multiple_choice,2015,111
49. Which colored eye doesn’t have pigment:,Red,Blue,Yellow,Green,B,multiple_choice,2015,111
50. Cell or Tissue death within a living body is called:,Neutrophilia,Nephrosis,Necrosis,"Neoplasia essays, written by qualifiers and officers & evaluated by Sir Syed Kazim Ali. Perfect for CSS & PMS aspirants aiming to enhance their writing skills to qualify. Explore Essays",C,multiple_choice,2015,112
Plants can be made disease resistant by:,Heat treatment,Hormone treatment,Cinnamomum treatment,Breeding with their wild relatives,D,multiple_choice,2014,114
"When the quantity of charge on each of the two bodies is doubled, the force between them becomes:",One-fourth,One-half,Twice,four times,D,multiple_choice,2014,114
From ecological point of view human beings are taken as:,Decomposers,Consumers,,,B,true_false,2014,114
A 'clinical death' takes place when:,There is no pulse,There is no heartbeat,Pupils are fixed and dilated and there is no reaction to light,All of above,D,multiple_choice,2014,115
Which of the following is a primary physical characteristic of most ceramic materials?,Hard material,Soft material,Dry material,Burnt material,A,multiple_choice,2014,115
The major cause of land pollution is:,Pesticides,Chemical fertilizers,Insecticides,All of these,D,multiple_choice,2014,115
The process by which small amount of impurities is added into a semiconductor is called:,Addition,Conduction,Doping,Insulating,C,multiple_choice,2014,116
Which of the following is both endocrine and exocrine gland?,Thyroid,Pancreas,Parathyroid,All of these,B,multiple_choice,2014,116
The echo of Big Bang can be heard in the form of:,Cosmic rays,Gamma rays,Microwave radio signals,Infrared radiations,C,multiple_choice,2014,117
10. Which of the following is a conventional designation of pre-released software?,Raw,Alpha,Omega,Beta,D,multiple_choice,2014,117
11. All Alkali metals react with water to form:,Oxides,Peroxides,Hydroxides,Hyper oxides,C,multiple_choice,2014,117
"12. If an igneous rock cuts across a sedimentary rock, we know that the igneous rock is:",Older than the sedimentary rock,Younger than the sedimentary rock,The same age as the sedimentary rock,A minimum of 1.2 million years old,B,multiple_choice,2014,118
"13. Which term in psychology is generally used to refer to emotional disorders such as anxiety, depression and phobia?",Psyches,Hypnosis,Neurosis,Mental illness,C,multiple_choice,2014,118
14. Why some nebulae shine?,"Through nuclear fusion, like a star",Due to a chemical burning process,By absorbing all light that enters them,By emitting light and/or reflecting light from nearby stars,D,multiple_choice,2014,118
15. Important ingredient used in vicks vapor rub is obtained from the plant:,Cinnamomum camphora,Cinnamomum zeylanicum,Curcuma,All of these,A,multiple_choice,2014,119
16. Light year is related to:,Time,Distance,Energy,Speed,B,multiple_choice,2014,119
17. Flesh Eaters are called:,Omnivores,Carnivores,Herbivores,Scavengers,B,multiple_choice,2014,120
18. Which of the following is a semiconductor?,Mercury,Magnesium,Silver,None of these,D,multiple_choice,2014,120
19. Overcooking of food should be avoided because overcooking:,Makes the food difficult to digest,Makes the food tastier,Increase the nutritive value of food,Reduces the nutritive value of food,D,multiple_choice,2014,120
20. A person standing in front of a mirror finds his image smaller than him and erect. This implies that the mirror is:,Plane,Concave,Convex,Not of good quality,C,multiple_choice,2014,121
21. The sharp-bitter taste of unripe fruits is due to high concentration of:,Phenolic compounds,Volatile compounds,Organic acids,Starch,C,multiple_choice,2014,121
22. Function of iron in our body is:,Provide strength,Oxygen transport,Help in hydrolysis,Breakdown fats,B,multiple_choice,2014,121
23. The non-communicable disease is called:,Endemic,Acute,Chronic,Innate,C,multiple_choice,2014,122
24. The medical discipline which deals with the understanding and treatment of mental health is called:,Applied psychology,Clinical psychology,Psychoanalysis,Psychiatry,D,multiple_choice,2014,122
"25. Who was the first Muslim mathematician who used ""Zero""?",Ahmad ibn al-Baitar,Ibn Rusted,Ibn al-Haytham,Al Khwarizmi,D,multiple_choice,2014,123
"26. If carbon dioxide is passed through lime water for a long time, the cloudy white colour (initially formed) disappears because of the formation of:",Calcium bicarbonate,Calcium hydroxide,Calcium carbonate,Calcium Sulphate,A,multiple_choice,2014,123
27. LASER is an acronym for:,Light amplification by standard emission of light,Light absorption stimulated entrance of radiation,Light amplification by stimulated emission of radiation,Light absorption by standard emission of radiation,C,multiple_choice,2014,123
29. Who was the early dentist and also inventor of many surgical instruments?,Avicenna,Al-Zahrawi (Abulcasis),Ibn al-Haytham,Al-Jahiz,B,multiple_choice,2014,124
30. The use of antibiotic is a very effective way of killing disease causing bacteria. Sometime people don't finish all of their pills. This can result in:,Some bacteria left unkilled,Production of more bacteria,Bacteria becoming sensitive to antibiotics,Bacteria becoming resistant to antibiotics,D,multiple_choice,2018,124
31. The sensation of the skin is perceived by:,Epidermis,The dermis,Endodermis,None of these,B,multiple_choice,2014,125
32. Optical fibre operates on the principle of:,Tyndall effect,Photoelectric effect,Laser technology,Total internal reflection,D,multiple_choice,2014,125
33. Omar Khayyam was a:,Poet,Mathematician,Astronomer,All of these,D,multiple_choice,2014,126
34. What is Hubble Classification?,Classification of stars,Classification of planets,Classification of galaxies,Classification of earth's zones,C,multiple_choice,2014,126
35. Bleaching powder loses its power on keeping for a long time because:,It changes into calcium hypochlorite,It changes into calcium chloride and calcium hydroxide,It absorbs moisture,It changes into calcium chloride and calcium chlorate,D,multiple_choice,2014,126
36. The operation of solar cell is based on:,Laser technology,Photoconduction,Thermal emission,Tyndall effect,B,multiple_choice,2014,127
37. What are cyclones?,Sudden heavy floods,No rain for a long period,Heavy showers,Violent wind and rain,D,multiple_choice,2014,127
"38. Vitamins A, D, E and K are called:",Water soluble vitamins,Primary vitamins,Basic vitamins,Fat soluble vitamins,D,multiple_choice,2014,127
39. Permanent hardness of water is due to the presence of:,Calcium bicarbonate,Magnesium bicarbonate,Calcium sulphate,Sodium bicarbonate,C,multiple_choice,2014,128
40. Articles made of copper and bronze slowly tarnish in air and turn green; the green colour is due to the formation of:,Copper oxide,Copper sulfide,A mixture of basic copper carbonate and copper sulfate,Pure copper nitrate,C,multiple_choice,2014,128
41. Satiety is the condition in which patient lacks desire to:,Drink,Eat,Sleep,Talk,B,multiple_choice,2014,129
"42. The densities of three liquids are D, 2D, 3D. What will be the density of the resulting mixture if equal volumes of the three liquids are mixed?",1.5D,2D,3D,6D,B,multiple_choice,2014,129
"43. The quickest, most readily available source of energy for the body is:",Protein,Carbohydrate,Lipid,Vitamins,B,multiple_choice,2014,129
44. Which of the following minerals is most resistant to chemical weathering?,Olivine,Quartz,Hornblende,Potassium feldspar,B,multiple_choice,2014,130
45. Silverfish belongs to:,Fish,Insect,Reptile,Amphibian,B,multiple_choice,2014,130
46. Sun rises in the east and sets in the west due to the:,Shape of earth,Rotation of earth around the sun,Rotation of earth on its axis,Movement of the sun,C,multiple_choice,2014,130
47. A shooting star is:,Sun,A comet,A meteor,An asteroid,C,multiple_choice,2014,131
48. The loudness of sound depends on its:,Wavelength,Frequency,Amplitude,All of these,C,multiple_choice,2014,131
49. The sum of the kinetic energy and potential energy of an oscillating body is:,Maximum in the beginning,Constant at all points,Maximum at midway of the path,Minimum in the beginning,B,multiple_choice,2014,131
50. Chromosomes are made up of:,DNA only,DNA and RNA,Proteins only,"DNA, RNA and Proteins only essays, written by qualifiers and officers & evaluated by Sir Syed Kazim Ali. Perfect for CSS & PMS aspirants aiming to enhance their writing skills to qualify. Explore Essays",D,multiple_choice,2014,132
Vaccination is synonymous with _____ immunity.,Natural active,Artificial passive,Artificial active,None of these,C,multiple_choice,2013,134
The Diamer-Bhasha Dam is to be constructed on:,River Sutlej,River Jhelum,River Chenab,None of these,D,multiple_choice,2013,134
Which month of the calendar year can lack a new moon?,December,February,May,None of these,B,multiple_choice,2013,134
The atmosphere of the Moon consists of:,"90 percent Hydrogen, 10 percent Nitrogen","80 percent Nitrogen, 20 percent Hydrogen","60 percent Nitrogen, 40 percent inert gases",None of these,D,multiple_choice,2013,135
Serum is blood plasma minus its:,Calcium ions,Clotting proteins,Globulins,None of these,B,multiple_choice,2013,135
An area of microbiology that is concerned with the occurrence of disease in a human population is:,Immunology,Parasitology,Epidemiology,None of these,C,multiple_choice,2013,135
The sunlight can reach a depth of _____ meters in the ocean:,100 m,80 m,120 m,None of these,D,multiple_choice,2013,136
Which of the following is not an enzyme?,Chemotropism,Secretin,Pepsin,None of these,A,multiple_choice,2013,136
Phosphorus is an essential component of one of the following biological molecules:,Amino acids,Nucleic acids,Carbohydrates,None of these,B,multiple_choice,2013,137
10. The number of electrons of a neutral atom is automatically known if one knows the:,Atomic number,Atomic weight,Number of orbitals,None of these,A,multiple_choice,2013,137
11. The biggest species of the cat family is:,Tiger,Lion,Leopard,None of these,A,multiple_choice,2013,137
12. Dacron is:,Polyethylene,Epoxy,Polyamide,None of these,D,multiple_choice,2013,138
13. One of these scientists formulated basic laws of geometry:,Pythagoras,Archimedes,Aristotle,None of these,D,multiple_choice,2013,138
14. One of the following countries produces the maximum energy from atomic reactors:,France,USA,UK,None of these,B,multiple_choice,2013,138
15. UV light falls in the category of:,Ionizing radiation,Non-ionizing radiation,Visible light,None of these,B,multiple_choice,2013,139
16. The Beta particles are fast-moving:,Protons,Electrons,Neutrons,None of these,B,multiple_choice,2013,139
17. Who proposed the concept “All motion is relative”?,Albert Einstein,Johannes Kepler,Galileo Galilei,None of these,A,multiple_choice,2013,139
18. It is a secondary plant nutrient:,Nitrogen,Phosphorus,Sulphur,None of these,C,multiple_choice,2013,140
19. He was the first scientist to prove that planets move around the Sun:,Archimedes,Galileo Galilei,Johannes Kepler,None of these,D,multiple_choice,2013,140
20. The quantity of available nutrients _____ from the lower levels of the energy pyramids to the higher ones.,Increases,Decreases,remains stable,None of these,B,multiple_choice,2013,141
21. Which group of animals has heterogametic females?,Domestic fowl,Earthworm,Rabbit,None of these,A,multiple_choice,2013,141
22. A concave refracting surface is one with a center of curvature:,to the left of the surface,to the right of the surface,on the side of the incident light,on the side of the refracted light,C,multiple_choice,2013,141
